DEBUG 2024-12-06 14:16:03,668 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\http\__init__.py first seen with mtime 1730002025.9067478
DEBUG 2024-12-06 14:16:03,668 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\pymysql\constants\__init__.py first seen with mtime 1730002345.7218852
DEBUG 2024-12-06 14:16:03,669 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1730002025.837228
DEBUG 2024-12-06 14:16:03,669 autoreload File C:\Python\Lib\ctypes\_endian.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,669 autoreload File C:\Python\Lib\encodings\aliases.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,669 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1730002024.003864
DEBUG 2024-12-06 14:16:03,669 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1730002025.9582636
DEBUG 2024-12-06 14:16:03,670 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1730002032.9874294
DEBUG 2024-12-06 14:16:03,670 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1730002025.830226
DEBUG 2024-12-06 14:16:03,670 autoreload File C:\Python\Lib\bz2.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,670 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1730002032.9944315
DEBUG 2024-12-06 14:16:03,671 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1730002025.7276976
DEBUG 2024-12-06 14:16:03,671 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1730002025.9822693
DEBUG 2024-12-06 14:16:03,671 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\test\testcases.py first seen with mtime 1730002025.9377558
DEBUG 2024-12-06 14:16:03,671 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\backend\api\models.py first seen with mtime 1733334798.0731263
DEBUG 2024-12-06 14:16:03,672 autoreload File C:\Python\Lib\email\utils.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,672 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1730002023.5635033
DEBUG 2024-12-06 14:16:03,672 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1730002025.8352275
DEBUG 2024-12-06 14:16:03,672 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\http\response.py first seen with mtime 1730002025.9097486
DEBUG 2024-12-06 14:16:03,672 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1730002025.8497343
DEBUG 2024-12-06 14:16:03,673 autoreload File C:\Python\Lib\email\__init__.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,673 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\views.py first seen with mtime 1730002032.8533995
DEBUG 2024-12-06 14:16:03,673 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1730002025.8477342
DEBUG 2024-12-06 14:16:03,673 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1730002024.3441865
DEBUG 2024-12-06 14:16:03,674 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\decorators.py first seen with mtime 1730002025.9522614
DEBUG 2024-12-06 14:16:03,674 autoreload File C:\Python\Lib\asyncio\format_helpers.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,674 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1731273657.1173794
DEBUG 2024-12-06 14:16:03,674 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\template\__init__.py first seen with mtime 1730002025.914749
DEBUG 2024-12-06 14:16:03,675 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\duration.py first seen with mtime 1730002025.953262
DEBUG 2024-12-06 14:16:03,675 autoreload File C:\Python\Lib\http\__init__.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,675 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\requests\_internal_utils.py first seen with mtime 1731273657.4309478
DEBUG 2024-12-06 14:16:03,675 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1730002025.7306986
DEBUG 2024-12-06 14:16:03,675 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\forms\models.py first seen with mtime 1730002025.8547359
DEBUG 2024-12-06 14:16:03,676 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\pymysql\constants\ER.py first seen with mtime 1730002345.7198846
DEBUG 2024-12-06 14:16:03,676 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1730002025.9502623
DEBUG 2024-12-06 14:16:03,676 autoreload File C:\Python\Lib\asyncio\coroutines.py first seen with mtime 1712688618.0
